2848,1484
1783,947
1493,801
1557,786
1554,807
1569,802
1663,872
1660,854
1715,903
1779,962
1747,913
2277,1008
1805,903
2230,1226
1486,810
1409,748
1395,738
1365,722
1378,729
1387,740
1482,793
1503,779
1531,780
1519,800
1590,844
1532,788
1502,783
2230,860
1556,818
1517,820
1429,761
1375,726
1460,787
1645,914
1369,726
152976,896
1614,847
1498,777
1530,795
1449,762
1525,791
5309,1036
2006,1061
2155,1145
2281,1192
1978,1034
1836,987
1820,1007
2011,1055
2038,1058
1794,917
1815,965
1931,1053
2413,1179
2201,1169
1961,1020
1832,922
1822,965
1729,915
1978,1011
1837,975
1740,934
3462,1067
1857,948
1678,899
1803,973
1994,1083
1971,1087
1789,986
1717,885
1701,854
1753,875
1659,857
1654,842
1628,833
1750,915
1599,815
1551,797
1564,788
1563,820
1649,834
1733,944
305020,1040
4607,1045
1884,961
1939,987
1952,1040
1931,1006
1867,979
1929,1003
1986,1044
1925,1001
2116,1113
2033,1051
2044,1063
2039,1110
1928,1016
1921,978
1891,976
1850,1007
1880,1020
2672,1208
1729,915
1695,893
1795,946
2152,1016
1812,984
2159,1163
1623,827
1586,866
1555,821
1455,770
1466,765
1437,757
1483,777
1506,809
1641,883
1547,819
2020,1126
3092,1584
2503,1375
2407,1377
2469,1232
304642,1258
4493,1446
2255,1151
2003,1063
1883,969
1904,985
1828,949
1832,971
1850,928
1864,963
1818,926
1793,927
1791,917
1871,971
1789,929
1835,928
1754,870
1739,885
1774,923
1644,836
2448,980
1763,939
2002,1044
1597,838
1626,868
1963,1049
1499,789
1434,759
1454,766
1447,773
1430,748
1450,772
1472,787
1435,747
1500,788
1419,732
1606,862
1929,1136
2047,996
156822,1037
4622,1183
2141,1118
1952,1029
1938,1044
1869,992
1833,955
1804,935
1809,953
1807,937
1810,892
1734,898
1716,887
1848,959
1795,912
1718,887
1628,833
1670,848
1631,839
1605,824
2317,1002
1678,871
1764,861
1838,983
1576,823
1640,780
1462,791
1468,772
1405,740
1460,791
1390,731
1385,728
1355,714
1388,735
1381,726
1404,769
1363,716
1506,828
1411,749
1552,801
1510,772
1530,778
1557,824
1582,793
2260,868
1569,812
1643,791
1667,896
1435,773
1561,903
1505,768
1398,735
1374,725
1372,723
1368,720
1395,744
1373,722
1381,728
1385,734
1375,729
1415,754
1380,729
1516,823
1465,794
1535,772
1512,780
1561,782
1527,790
1515,782
2227,961
1589,832
1562,869
1909,1239
1737,919
1593,896
4348,774
1953,1181
1457,739
1455,743
1473,753
1600,755
1444,745
1441,746
1484,749
1599,836
1525,801
1525,782
1560,805
1508,782
1525,777
1778,977
2230,895
1468,751
1453,741
1474,755
1516,754
1479,775
1553,811
1450,780
1634,856
1489,783
1556,828
1391,741
1379,729
1364,713
1381,728
1457,793
1425,766
1544,842
1508,775
1505,783
1525,776
1523,792
1535,789
1523,782
2198,933
1480,763
1548,783
1526,789
1469,760
1592,850
1625,856
1679,866
1470,794
1420,772
1417,751
1450,764
1454,769
1532,827
1514,794
1533,794
153562,1064
4507,1087
1952,1008
1968,1073
1729,911
1704,889
1781,961
1735,921
1774,923
1748,919
1689,890
1605,846
1548,820
1651,875
1713,878
1666,851
1681,848
1646,839
1608,835
1612,835
2180,945
1756,890
1625,836
1645,871
1818,950
1465,782
1488,814
1397,725
1404,752
1365,722
1390,729
1375,726
1370,722
1381,731
1384,732
1361,714
1369,722
1362,722
1474,796
1431,756
1482,781
1526,786
1508,789
1536,785
1539,789
2200,845
1583,823
1676,939
1439,764
1443,763
1508,741
1642,910
1370,716
1368,715
1379,735
1458,784
1441,737
1388,734
1381,727
1363,717
1376,726
1433,777
1419,758
1504,817
1432,767
1406,754
1562,795
1506,769
1520,770
1505,779
2277,851
1594,833
1557,858
1671,897
1441,776
1717,993
1406,751
1400,744
1382,733
1382,732
1354,716
1442,775
1365,718
1394,735
1400,740
1519,838
1389,727
1453,772
1609,834
1523,790
1640,806
1498,769
1517,787
1535,782
1565,814
1652,855
1497,757
1480,762
1749,854
1520,834
1511,740
1426,767
1708,918
1369,727
1397,732
1464,766
1467,775
1445,782
1380,732
1405,754
1425,762
1425,772
1512,824
1427,765
1589,799
1532,786
1516,787
1547,795
2310,942
1535,783
1448,748
1511,788
1537,795
1469,810
1666,892
1707,884
304324,1074
4469,1358
2243,1166
1949,1018
1845,953
1842,941
1786,926
1837,919
1854,962
1891,993
1810,945
1752,894
1775,935
1801,923
1739,881
1698,857
1677,852
1625,860
1677,852
2338,940
1645,840
1594,806
1650,839
1516,778
1679,841
1493,785
1442,757
1750,8
