cipher,mean,St Dev, median,90th Pct,max,min
AEAD_ECDSA256_X25519,734.243434343,85.2490251867,716.0,837.1,1714.0,623.0
AEAD_ECDSA256,898.5,83.635171544,882.0,1007.3,1557.0,763.0
AEAD_RSA2048_X25519,714.801010101,117.97431581,682.0,917.1,1137.0,550.0
AEAD_RSA2048,901.956565657,166.416567297,856.5,1102.1,2196.0,688.0
