ECDSA256_ECDHE256, RSA2048_ECDHE256, RSA2048_DHE2048, RSA2048_DHE1024, RSA3072, RSA2048
,,,,,,1053
,,,,,,995
,,,,,,931
,,,,,,961
,,,,,,954
