3090,859,312,1171
1897,881,299,1180
1640,670,95,765
1437,750,54,804
1292,610,63,673
1466,656,72,728
1506,730,81,811
1440,711,85,796
1456,672,74,746
1487,638,111,749
1454,697,80,777
1460,678,103,781
2092,711,70,781
1551,790,116,906
1671,729,261,990
1527,633,159,792
1482,700,107,807
1396,656,72,728
1621,659,67,726
1366,677,49,726
1533,676,79,755
1517,724,81,805
1507,732,76,808
1341,641,83,724
1498,653,89,742
1626,714,121,835
1684,726,100,826
1326,632,45,677
1285,623,51,674
1351,680,71,751
1281,636,54,690
1266,626,49,675
2101,692,107,799
1408,658,71,729
1608,722,128,850
1552,681,129,810
1425,642,67,709
1331,632,54,686
1317,632,50,682
1898,697,90,787
1318,644,57,701
1405,644,64,708
1437,632,73,705
1504,651,128,779
1312,626,91,717
1258,616,54,670
1299,619,87,706
1249,616,47,663
1281,628,54,682
1246,620,52,672
1246,609,51,660
1318,613,48,661
1241,613,52,665
1234,611,45,656
1392,657,104,761
1319,645,55,700
1319,635,57,692
1325,641,69,710
1399,644,72,716
1301,640,50,690
1466,700,79,779
1268,621,47,668
1298,631,66,697
1293,617,52,669
1379,633,77,710
1349,651,69,720
1408,650,143,793
1525,642,178,820
1519,638,119,757
1297,633,62,695
1265,620,45,665
1340,622,92,714
1254,612,60,672
1335,644,82,726
1344,655,56,711
1275,624,45,669
1362,636,65,701
1403,637,62,699
1307,637,47,684
1324,640,59,699
1362,665,53,718
1266,631,44,675
1322,645,53,698
1251,614,46,660
1617,652,76,728
1286,638,59,697
1301,635,61,696
1238,615,44,659
1265,620,51,671
1273,628,51,679
1329,626,106,732
1321,641,60,701
1320,630,70,700
1258,620,45,665
1387,680,63,743
1307,641,50,691
1406,657,61,718
1286,629,45,674
1375,634,51,685
1320,639,52,691
2034,714,77,791
1266,621,48,669
1413,625,56,681
1349,634,49,683
1503,652,82,734
1260,627,48,675
1432,624,77,701
1298,621,92,713
1251,617,50,667
1274,625,57,682
1254,614,47,661
1276,621,62,683
1237,613,48,661
1298,634,61,695
1405,696,68,764
1483,694,71,765
1666,916,84,1000
1406,661,65,726
1383,661,78,739
2284,733,80,813
1482,655,156,811
1743,911,83,994
1673,707,197,904
1559,687,100,787
1606,684,101,785
1370,635,66,701
1576,747,95,842
1505,729,88,817
1441,703,71,774
1352,640,66,706
1568,755,84,839
1639,776,89,865
1467,744,66,810
1556,841,81,922
1705,783,93,876
1418,654,68,722
1437,669,74,743
1588,643,76,719
1412,649,68,717
1413,634,73,707
1359,635,63,698
1384,658,69,727
1494,658,63,721
1434,687,92,779
1452,708,72,780
1736,933,105,1038
1600,771,90,861
1472,663,69,732
1571,840,78,918
1488,690,79,769
1457,645,65,710
1434,664,66,730
1635,685,64,749
1509,673,75,748
1479,754,79,833
1491,680,72,752
1457,693,72,765
1470,696,85,781
1456,673,84,757
1618,701,194,895
1572,668,166,834
1623,735,94,829
1389,668,69,737
1347,629,61,690
1259,626,55,681
1609,720,78,798
1493,691,102,793
1435,665,69,734
1330,647,57,704
1315,637,61,698
1369,641,59,700
1350,650,60,710
1956,726,64,790
1321,636,47,683
1739,735,186,921
1330,652,52,704
1262,619,54,673
1617,657,211,868
1372,697,78,775
1294,636,56,692
1700,721,159,880
1351,647,64,711
1318,644,56,700
1328,643,59,702
1344,638,59,697
2008,745,115,860
1406,661,56,717
1297,620,45,665
1423,632,101,733
1332,634,69,703
1601,705,106,811
1457,679,146,825
1634,697,186,883
1336,642,47,689
1274,629,51,680
1317,642,55,697
1540,705,74,779
1350,661,56,717
1319,646,63,709
1444,618,49,667
1471,656,208,864
1264,622,46,668
1257,614,66,680
1272,620,45,665
1244,616,49,665
1233,605,53,658
1256,618,46,664
1320,630,99,729
1355,635,73,708
1301,628,57,685
1405,689,69,758
1288,632,46,678
1356,639,63,702
1312,637,57,694
1362,658,60,718
1367,641,66,707
