2348,849,298,1147
2123,800,109,909
1642,760,119,879
1827,683,118,801
1267,610,66,676
1424,659,69,728
1319,608,78,686
1336,649,53,702
1235,619,55,674
1409,656,55,711
1667,747,155,902
1346,643,47,690
1507,657,106,763
1479,715,76,791
1394,642,78,720
1443,685,83,768
1367,646,68,714
2385,798,100,898
1346,648,60,708
1267,623,49,672
1335,628,53,681
1356,666,46,712
2499,813,121,934
1944,916,140,1056
1748,706,198,904
1381,640,76,716
1390,632,54,686
1349,634,62,696
1379,667,81,748
1553,716,128,844
2234,727,87,814
1377,671,70,741
1407,647,62,709
1508,778,94,872
1383,676,70,746
1813,860,165,1025
1717,892,119,1011
1361,638,60,698
1305,620,63,683
1295,631,53,684
1243,611,51,662
1337,631,77,708
1409,627,77,704
1539,648,102,750
2489,951,136,1087
1380,622,74,696
1304,618,52,670
1306,620,58,678
1297,633,65,698
1560,780,88,868
1477,655,84,739
1566,702,159,861
1356,639,61,700
1392,642,77,719
1371,634,53,687
1274,621,47,668
1241,613,48,661
2058,769,113,882
1406,645,56,701
1449,681,121,802
1271,618,52,670
1376,650,63,713
1605,665,157,822
1308,624,54,678
1249,617,55,672
1302,632,64,696
1278,620,54,674
1262,614,50,664
1305,628,55,683
2007,672,51,723
1418,632,51,683
1306,624,64,688
1338,644,68,712
1302,637,77,714
1281,629,58,687
1530,644,173,817
1362,635,152,787
1231,608,49,657
1280,612,91,703
1243,615,58,673
1259,616,60,676
1216,599,52,651
1249,615,47,662
1228,605,47,652
1233,606,46,652
1274,621,56,677
1228,606,44,650
1327,642,92,734
1342,645,62,707
1324,659,58,717
1305,632,55,687
1298,632,63,695
1315,618,55,673
1418,665,97,762
1331,631,55,686
2015,672,60,732
1341,647,58,705
1526,653,160,813
1302,628,65,693
1382,629,170,799
1264,616,52,668
1252,615,63,678
1237,608,46,654
1267,598,49,647
1240,611,52,663
1242,611,46,657
1247,613,56,669
1232,612,46,658
1250,608,52,660
1254,613,62,675
1244,616,50,666
1327,619,94,713
1244,612,57,669
1271,634,55,689
1349,668,60,728
1267,619,49,668
1278,621,50,671
1283,623,53,676
1302,633,54,687
1287,624,56,680
1310,630,56,686
1287,629,53,682
1437,677,78,755
1286,620,55,675
1326,632,60,692
1309,646,75,721
1386,645,142,787
1221,610,44,654
1264,621,56,677
1285,616,60,676
1233,607,53,660
1246,610,58,668
1275,626,59,685
1228,604,49,653
1231,600,52,652
1233,607,46,653
1237,610,52,662
1303,633,75,708
1234,610,55,665
1246,611,48,659
1334,616,57,673
1287,621,57,678
1313,617,100,717
1293,616,50,666
1301,612,56,668
1270,618,52,670
1291,616,62,678
1327,632,56,688
1657,706,160,866
1498,674,70,744
1436,649,66,715
1317,630,62,692
1354,645,89,734
1396,683,80,763
1444,672,69,741
1379,636,60,696
1411,684,94,778
1332,657,55,712
1402,626,49,675
1320,625,56,681
1318,626,66,692
1311,622,45,667
1513,648,133,781
1311,620,48,668
1351,664,69,733
1284,623,51,674
1254,609,49,658
1257,615,46,661
1248,614,48,662
1247,611,48,659
1290,630,63,693
1256,616,55,671
1248,616,48,664
1257,621,57,678
1333,662,52,714
1255,619,54,673
1391,680,76,756
1423,661,72,733
1419,648,52,700
1395,633,64,697
1331,628,66,694
2200,740,121,861
1362,643,61,704
1291,619,51,670
1284,616,61,677
1290,638,53,691
1519,670,70,740
1359,680,57,737
1459,654,151,805
1498,630,99,729
1256,617,60,677
1350,638,59,697
1307,641,60,701
1275,624,48,672
1303,635,70,705
1248,611,52,663
1296,632,47,679
1365,688,55,743
1534,771,62,833
1477,685,61,746
1342,659,60,719
1320,641,59,700
1436,750,61,811
1334,647,54,701
1490,680,77,757
2106,711,74,785
1539,739,71,810
1472,710,76,786
1478,690,90,780
1545,689,175,864
1360,671,59,730
1346,638,60,698
1413,678,66,744
1382,650,74,724
1358,656,64,720
1324,642,62,704
1419,697,73,770
1457,688,79,767
1324,637,67,704
1843,798,96,894
1383,651,53,704
1364,651,64,715
1767,849,93,942
1638,934,73,1007
1956,918,87,1005
1703,796,79,875
1507,671,74,745
1637,653,65,718
1816,829,68,897
2507,800,96,896
1482,695,65,760
1339,642,66,708
1412,676,79,755
1776,779,150,929
1762,741,164,905
1885,705,241,946
1662,957,65,1022
1722,910,125,1035
1618,650,63,713
2293,751,80,831
1395,694,58,752
1685,746,81,827
1402,686,58,744
1388,677,70,747
1676,727,66,793
1627,771,95,866
1462,687,160,847
1505,715,150,865
1607,657,112,769
1305,627,53,680
1340,647,53,700
1375,629,69,698
1415,665,85,750
1512,718,87,805
1338,654,63,717
1684,700,74,774
1637,927,72,999
1365,669,53,722
1823,951,100,1051
1869,730,87,817
2449,830,71,901
1356,658,64,722
1326,639,55,694
1887,814,89,903
1797,828,131,959
1575,712,198,910
1368,652,71,723
1399,712,66,778
1346,668,52,720
1432,684,87,771
1422,673,79,752
1368,659,61,720
1358,666,73,739
1360,634,70,704
1492,693,92,785
1397,661,70,731
1332,638,68,706
1441,706,79,785
5722,699,75,774
1423,643,65,708
1402,659,72,731
1986,707,100,807
1459,659,60,719
1300,620,62,682
1247,611,59,670
1340,636,74,710
1253,615,56,671
1268,620,53,673
1293,637,54,691
1272,609,47,656
1330,640,56,696
1618,660,220,880
1517,633,172,805
1323,630,68,698
1459,624,97,721
1274,626,60,686
1267,622,45,667
1246,611,50,661
1259,622,54,676
1383,649,55,704
1291,639,60,699
1332,629,55,684
1316,634,65,699
1299,627,47,674
1311,626,62,688
1320,656,52,708
1315,629,58,687
2076,678,57,735
1336,628,94,722
1258,604,44,648
1297,624,51,675
1276,629,53,682
1385,646,82,728
1301,634,46,680
1295,637,58,695
1467,631,134,765
1246,614,49,663
1265,613,49,662
1350,647,110,757
1237,609,45,654
1222,603,51,654
1258,610,53,663
1238,606,50,656
1293,616,68,684
1330,614,51,665
1258,622,53,675
1240,610,52,662
1367,613,53,666
1277,616,66,682
1232,602,44,646
1323,631,61,692
1227,607,48,655
1382,675,69,744
1367,659,65,724
1257,614,43,657
1385,638,69,707
1294,621,63,684
1291,618,59,677
1516,664,56,720
1413,649,55,704
1344,628,90,718
1310,633,57,690
1457,635,54,689
1374,642,59,701
1438,711,94,805
2198,748,175,923
1362,647,53,700
1492,668,121,789
1655,760,103,863
1442,652,54,706
1637,705,126,831
1283,633,53,686
1300,633,62,695
1538,711,96,807
1368,654,71,725
2121,683,69,752
1316,628,46,674
1335,631,69,700
1389,654,54,708
1398,641,51,692
1463,679,191,870
1248,621,50,671
1260,623,53,676
1423,643,136,779
1270,622,50,672
1246,613,47,660
1245,618,56,674
1221,604,46,650
1220,603,43,646
1289,625,64,689
1270,626,56,682
1274,624,61,685
1358,669,59,728
1285,626,50,676
1394,631,92,723
1547,654,79,733
1415,653,75,728
1342,644,61,705
1350,627,73,700
1420,665,81,746
1397,673,55,728
1466,653,92,745
1373,653,63,716
1361,640,87,727
1644,664,204,868
1526,701,190,891
1364,663,79,742
1245,610,49,659
1218,601,54,655
1256,624,52,676
1284,617,90,707
1274,634,48,682
1245,619,54,673
1262,619,49,668
1265,627,57,684
1232,611,44,655
1284,634,51,685
1336,653,66,719
1372,651,53,704
1357,638,74,712
1343,642,77,719
1322,639,67,706
1298,629,61,690
1425,664,73,737
2024,684,57,741
1489,674,92,766
1279,621,52,673
1530,646,147,793
1321,629,50,679
1253,613,48,661
1246,608,49,657
1283,619,62,681
1251,611,55,666
1284,638,55,693
1318,628,80,708
1236,610,45,655
1224,603,45,648
1273,612,51,663
1275,614,94,708
1254,607,50,657
1282,617,53,670
1255,625,54,679
1328,631,54,685
1388,654,67,721
1346,656,57,713
1558,690,77,767
1365,654,61,715
1419,644,75,719
1361,646,53,699
1407,669,62,731
1402,659,71,730
1403,656,97,753
1431,650,65,715
1344,645,62,707
1332,643,95,738
1583,696,80,776
1280,626,54,680
1353,632,55,687
1288,631,66,697
1305,641,59,700
1333,626,46,672
1263,614,48,662
1364,636,63,699
1379,658,60,718
1809,740,96,836
1408,651,66,717
1396,664,71,735
1355,648,58,706
1443,678,75,753
2179,718,78,796
1418,642,63,705
1299,628,54,682
1326,634,61,695
1313,632,49,681
1361,643,117,760
1628,686,118,804
1625,686,195,881
1604,697,138,835
1436,711,79,790
1422,707,70,777
1591,680,54,734
1591,689,65,754
1528,732,85,817
1738,898,77,975
2148,970,122,1092
1761,990,77,1067
2116,1085,79,1164
2061,896,140,1036
1511,689,70,759
2186,873,104,977
1451,657,59,716
1293,624,59,683
1335,675,56,731
1461,682,87,769
1655,743,195,938
1804,770,230,1000
1792,787,86,873
1319,644,53,697
1380,664,71,735
1429,686,66,752
1740,849,75,924
1469,738,77,815
1977,1046,99,1145
1438,711,75,786
1765,793,80,873
1583,748,72,820
1574,684,62,746
1419,672,55,727
1548,800,68,868
2032,711,122,833
1466,682,72,754
1548,670,76,746
1776,691,175,866
1342,668,62,730
1389,673,49,722
1297,625,64,689
1282,629,59,688
1270,616,46,662
1359,644,55,699
1264,622,60,682
1237,607,55,662
1303,611,45,656
1262,607,48,655
1327,656,52,708
1280,634,54,688
1346,625,66,691
1341,662,64,726
1342,631,64,695
1293,624,57,681
1401,632,60,692
1972,727,86,813
1447,664,60,724
1293,623,47,670
1332,636,73,709
1301,636,66,702
1555,649,179,828
1593,659,227,886
1352,622,87,709
1245,617,49,666
1271,614,49,663
1290,619,97,716
1276,630,48,678
1288,616,67,683
1232,606,50,656
1244,600,54,654
1319,625,59,684
1361,653,85,738
1351,654,64,718
1289,632,51,683
1277,629,60,689
1329,665,72,737
1400,637,53,690
1315,632,60,692
1402,640,76,716
2034,685,78,763
1417,640,59,699
1383,660,92,752
1285,614,54,668
1596,676,177,853
1264,622,65,687
1289,619,51,670
1243,612,46,658
1254,611,59,670
1311,638,52,690
1238,609,51,660
1240,614,47,661
1306,613,48,661
1239,614,54,668
1245,607,50,657
1323,621,56,677
1293,614,89,703
1317,659,48,707
1364,641,94,735
1308,632,55,687
1355,646,73,719
1328,627,61,688
1318,628,69,697
1344,629,53,682
2070,685,71,756
1436,636,60,696
1280,623,58,681
1244,612,49,661
1363,613,48,661
1312,629,73,702
1307,629,53,682
1339,643,94,737
1240,613,52,665
1407,642,156,798
1272,625,52,677
1285,622,59,681
1309,627,66,693
1297,611,49,660
1268,613,50,663
1260,618,47,665
1298,637,58,695
1321,657,50,707
1302,639,57,696
1283,622,49,671
1348,659,68,727
1445,641,63,704
1288,629,54,683
1426,641,74,715
2078,681,70,751
1483,633,54,687
1311,616,62,678
1295,611,59,670
1306,641,56,697
1379,653,65,718
1370,660,71,731
1420,621,51,672
1362,614,48,662
1549,641,126,767
1249,616,55,671
1245,606,47,653
1271,616,56,672
1252,604,78,682
1305,619,94,713
1271,623,57,680
1297,646,60,706
1277,632,50,682
1355,643,62,705
1300,627,57,684
1382,634,57,691
1330,635,66,701
1354,633,68,701
1440,638,72,710
1346,670,48,718
1301,622,70,692
1311,620,56,676
1401,655,84,739
1476,657,143,800
1666,642,257,899
1396,653,147,800
1651,678,209,887
1344,635,65,700
1594,631,49,680
1602,622,60,682
1314,637,64,701
1275,629,51,680
1847,995,60,1055
1352,658,70,728
1579,874,62,936
2014,998,61,1059
1564,747,55,802
1450,654,63,717
1320,640,46,686
1318,653,43,696
2035,758,94,852
1646,916,75,991
1548,678,157,835
1394,696,62,758
1541,724,92,816
1757,780,97,877
1489,729,77,806
1657,731,66,797
1499,731,60,791
1463,721,68,789
1554,706,69,775
1408,691,56,747
1706,768,79,847
1442,683,60,743
1561,765,78,843
1464,684,68,752
1400,668,57,725
1417,679,76,755
1463,660,71,731
2166,742,69,811
1429,686,65,751
1668,760,140,900
1680,682,158,840
1692,698,116,814
1690,700,200,900
1384,680,67,747
1318,653,58,711
1294,647,50,697
1320,655,51,706
1285,623,45,668
1322,634,52,686
1448,697,107,804
1328,641,56,697
1511,695,121,816
1404,662,66,728
1473,741,80,821
1650,797,73,870
2080,998,71,1069
1453,704,70,774
1625,760,71,831
1552,708,87,795
1481,707,72,779
1425,686,55,741
1460,717,68,785
1378,673,50,723
1637,713,205,918
1505,715,89,804
1519,721,102,823
1557,666,156,822
1394,686,72,758
1432,686,95,781
1440,673,72,745
1726,778,77,855
1846,944,108,1052
1557,750,80,830
1705,767,70,837
1617,810,83,893
1698,739,85,824
1671,776,98,874
1582,737,72,809
1520,749,56,805
1494,667,63,730
1758,823,113,936
2033,805,194,999
1732,815,191,1006
1721,750,116,866
1417,704,50,754
1423,684,60,744
1365,670,64,734
1410,679,71,750
1374,671,50,721
1393,670,64,734
1853,865,79,944
1717,812,99,911
1701,798,84,882
1739,793,90,883
1655,809,67,876
1584,758,73,831
1572,742,73,815
2318,815,91,906
1879,786,77,863
1541,754,64,818
1741,746,117,863
1666,712,56,768
1517,720,125,845
