3675,1833
2164,1129
1952,994
7215,1407
2255,1185
2323,1238
2267,1168
2847,1559
2896,1473
2862,1415
2922,1452
2703,1410
3013,1477
2575,1105
1970,988
7321,1016
2103,1049
3176,1657
3231,1561
3066,1499
2651,1199
2486,1277
2293,1097
2516,1274
2334,1106
2210,1029
1889,956
1880,974
1868,945
1870,952
8521,1035
1873,954
2760,1413
1821,938
1911,982
2162,1140
2282,1252
2272,1141
2334,1325
2017,1043
2178,1127
2013,1027
2073,1055
2245,1022
1868,946
8616,1010
1879,946
1830,942
1822,943
2148,1092
2390,1206
2420,1255
2294,1302
2076,1088
2057,1093
2084,1067
2129,1079
2042,1051
1882,973
1872,973
8691,1021
1898,967
1862,951
1931,988
3218,1675
2518,1231
2158,1117
2254,1102
2161,1073
2231,1146
2022,1037
2136,1047
1907,1000
1863,945
1928,985
1885,956
1866,952
1848,940
2034,1095
2439,1170
2488,1369
2275,1314
2166,1162
2075,1030
2064,1044
2216,1104
1988,992
2138,1047
1917,989
7181,1202
1859,955
1867,951
1864,976
2163,1065
2157,1123
2115,1089
3213,1687
2259,1129
2161,1200
2264,1173
2079,1056
1931,998
1891,968
6306,1849
1957,993
1863,963
1840,944
1912,993
2109,1106
1989,1051
1959,1033
1960,1022
1983,1056
1992,1025
1933,1030
2086,1169
1948,1044
2043,1086
1892,991
2043,1080
1954,1033
1852,961
1984,1005
7109,1144
1950,994
1949,1026
1855,950
1812,930
2784,1415
2109,1117
2091,1091
1979,1022
1973,1061
1966,1047
1941,1035
2165,1217
2375,1233
2381,1201
1983,1067
2092,1053
1920,984
1867,957
1910,975
2040,1059
2308,1260
2161,1127
2098,1062
2303,1058
1941,1000
1936,1016
1939,1007
1952,1001
1891,971
1969,1041
2122,1199
2341,1249
2297,1105
1908,958
1874,961
1884,947
2782,1404
1855,966
7027,1090
1900,989
1916,1005
2113,1053
2025,1044
2217,1132
1932,1012
2053,1007
1939,1003
2212,1118
1946,1017
1855,949
1881,1002
2001,1096
2038,1009
1914,961
1851,956
1894,986
1893,953
1895,951
1916,1001
1879,945
1829,944
1833,955
1867,978
1964,1025
2117,1143
2050,1103
1986,1028
1936,1010
2956,1495
2291,1261
2142,1109
2008,1017
1987,1048
2074,1068
1910,995
1886,966
1900,956
7003,1092
1883,994
1876,965
1856,957
1824,943
1850,941
1885,968
2017,1041
2031,1072
1978,1048
2125,1021
2230,1146
2332,1232
2479,1310
2221,1119
2052,1040
1982,980
1901,972
1907,969
6961,1186
1983,989
2257,1165
2215,1125
3280,1622
2307,1144
2224,1133
2274,1135
2275,1227
1851,959
1844,956
1926,1027
2243,1112
1972,1032
1912,992
1984,1030
1926,978
1896,967
1918,1001
2020,1056
1921,992
2707,1418
2361,1181
2284,1116
2311,1141
2264,1188
2199,1086
2228,1127
1923,984
8397,1034
1993,978
1903,971
1926,991
2109,1089
2203,1148
2207,1127
2910,1511
1951,1042
2210,1131
1919,1005
1990,1054
2019,1063
2031,1033
2044,1001
1975,993
1905,975
1891,956
1899,974
2050,1031
2108,1044
1850,957
1824,944
1869,942
1840,956
2049,1099
2154,1075
2161,1033
2841,1873
2022,1047
1967,1015
2125,1152
2142,1061
2136,1073
1991,1033
1950,1004
1946,1006
1906,973
1896,982
3008,1525
1852,960
1856,956
1851,945
1861,959
1901,974
2069,1119
2002,1052
2112,1099
1959,1044
1926,1010
2309,1263
2237,1210
2322,1222
2252,1096
2018,1028
1975,1037
1987,1008
7158,1084
2011,1014
2051,1075
2055,1069
2080,1108
1941,1004
1953,1035
2126,1167
1969,1034
2109,1203
1820,929
1821,949
1955,1053
2347,1114
2823,1442
1891,967
1850,949
1890,972
1866,967
7032,1203
1911,977
1829,942
1849,952
2270,1121
2145,1056
2028,1068
1955,1020
1996,1041
1953,1014
2023,1087
1874,969
1971,1036
1940,978
2040,1057
1975,998
1863,967
1937,979
1901,978
7002,1232
1907,972
1892,951
1860,958
1855,944
1859,955
1996,1029
2054,1104
3093,1659
2215,1178
1980,1019
1972,1024
2120,1073
2143,1071
1908,973
1959,999
1947,971
1889,960
1877,965
6916,1148
1947,977
1830,944
1859,938
1848,955
1882,963
1892,954
1838,950
2040,1058
2167,1157
2314,1279
2176,1245
2308,1177
2198,1124
2376,1208
2137,1071
1890,981
1881,970
1885,969
7044,1043
1941,1013
3120,1595
2167,1181
2015,1047
1954,1010
2039,1087
1960,1045
1948,1016
2088,978
1840,952
1898,1005
2013,1074
1893,964
1909,991
1887,961
1933,975
1903,972
6763,1095
1927,976
1843,943
1866,959
1873,938
2174,1129
2176,1167
1967,1028
1966,1038
2277,1263
1996,1053
2178,1088
2008,1040
1896,986
1813,935
2091,1066
2835,1447
1897,988
1872,965
6810,1012
1917,982
1862,940
1852,938
1854,942
1828,944
1862,955
2003,1034
2185,1213
2299,1314
1964,1020
2121,1043
2143,1090
2230,1208
1935,992
1899,965
1901,966
1912,983
1851,950
6872,1182
1918,986
2039,1057
2020,1066
2034,1038
1995,1039
1976,1020
1950,1024
2308,1198
1937,1037
2761,1408
1891,988
2263,1094
1946,980
1904,981
1896,973
1963,1046
1889,961
6973,1153
1905,970
1842,955
1953,1039
2081,1041
1986,1033
2045,1022
1976,1053
1939,1019
1972,1032
1944,1000
1883,973
1952,1026
1891,971
2087,1069
1890,985
1943,1013
1884,951
1905,971
6999,1180
1886,958
1868,959
1865,961
1851,955
3161,1672
1981,1018
1991,1065
2247,1214
2161,1208
2018,1076
2018,1055
1980,985
1994,1022
2169,1161
1920,963
1913,992
6925,1148
1913,983
1848,937
1832,936
1877,954
1848,952
1838,941
1974,1068
2085,1075
2155,1065
2334,1275
2045,1101
2528,1298
2262,1234
2142,1068
2146,1127
1968,988
1883,975
1885,960
7128,1038
2932,1530
2139,1051
2040,1098
2021,1081
1989,1067
2205,1111
2262,1188
1898,988
1847,947
1837,952
1894,994
2240,1192
1960,1001
1914,975
1943,989
1915,981
1888,969
6967,1169
1893,961
1916,972
1862,959
2165,1066
2249,1170
2054,1082
1943,1003
1945,1024
2231,1180
2006,1059
1954,1034
1893,973
1897,972
2138,1112
2891,1442
1904,973
1874,963
6933,1041
1879,954
1880,973
1819,931
1816,942
1850,947
2067,1085
2030,1087
2095,1178
1935,1025
2218,1187
1984,1061
2372,1313
1996,994
1895,983
2143,1142
2065,1047
1917,981
6803,1118
2051,1075
2061,1090
2099,1063
2303,1306
2007,1047
1937,1009
2247,1165
1907,986
1879,983
1884,953
3131,1676
2118,1064
1883,979
1907,967
1933,978
1875,959
1892,965
6925,1046
1860,951
1846,948
2202,1156
2059,1091
2147,1094
1953,1009
1968,1020
2240,1125
1926,1002
1891,982
1871,988
1978,982
2048,1052
1867,968
1911,962
1958,1018
1977,1060
6884,1136
1883,966
1970,990
1841,942
1842,950
2204,1140
2042,1052
3201,1578
2220,1160
1987,1029
2162,1057
2071,1075
1987,1000
1916,982
2094,1096
2183,1031
1905,974
6930,1164
1933,1021
2176,1177
2083,1147
2155,1007
2530,1364
2181,1216
2078,1112
2316,1189
1840,950
1934,986
2294,1194
1994,1013
1971,1018
1872,952
1890,966
1866,964
1901,980
7029,1048
1894,959
1903,998
2106,1110
3174,1557
2006,1046
1939,1021
2129,1161
2047,1082
1977,978
1859,972
1965,1027
2212,1156
1981,1004
1911,974
1917,970
1895,967
1910,995
2152,1053
1917,963
1831,936
1845,944
2042,1091
2039,1071
2090,1150
2063,1057
1962,1042
2020,1070
1972,1027
2043,1097
1953,966
1910,988
2112,1110
1927,1000
1927,986
1884,978
2872,1468
1867,943
1890,960
1832,950
1825,944
1919,962
1999,1048
1994,1062
2222,1172
1968,1008
2167,1196
2528,1254
2367,1162
2066,1043
1954,991
1879,965
1900,976
7069,1236
1961,995
2023,1033
2198,1194
2233,1186
1974,1018
1957,1024
1965,1018
2244,1177
2080,998
1858,959
2164,1169
1991,1012
1912,979
1895,982
2830,1441
1871,963
6916,1121
1923,985
1873,959
1840,942
2217,1150
1995,1040
2289,1168
1995,1029
2295,1206
1967,1022
1959,1012
2004,1067
1976,1014
2010,1050
1954,1003
1909,979
1921,984
2154,1054
1855,956
1840,951
1875,964
1887,980
1906,977
2127,1174
2034,1055
1988,1029
1942,1025
1975,1058
2172,1141
2098,1116
2870,1487
1932,982
1925,977
1904,977
1871,957
2009,1039
2030,1054
2023,1030
2068,1083
1955,1022
